starting_times,source_nodes,target_nodes,ending_times,durations
0,191,201,20,20
0,192,204,20,20
0,192,201,20,20
0,199,202,20,20
0,203,204,20,20
0,204,202,20,20
0,204,193,20,20
0,201,193,20,20
0,158,154,20,20
0,161,145,20,20
0,23,25,20,20
0,88,92,20,20
20,149,153,40,20
20,158,154,40,20
20,125,130,40,20
20,54,48,40,20
20,161,145,40,20
20,182,175,40,20
20,23,25,40,20
20,88,92,40,20
20,106,104,40,20
20,79,84,40,20
20,1,17,40,20
20,18,10,40,20
20,12,9,40,20
20,117,113,40,20
20,118,100,40,20
20,170,178,40,20
40,149,153,60,20
40,158,154,60,20
40,125,130,60,20
40,161,145,60,20
40,43,33,60,20
40,23,25,60,20
40,39,47,60,20
40,88,92,60,20
40,101,107,60,20
40,109,111,60,20
40,79,84,60,20
40,18,10,60,20
40,12,9,60,20
40,117,113,60,20
60,158,154,80,20
60,125,130,80,20
60,54,48,80,20
60,161,145,80,20
60,43,33,80,20
60,23,32,80,20
60,26,37,80,20
60,41,35,80,20
60,41,29,80,20
60,35,29,80,20
60,88,92,80,20
60,106,117,80,20
60,98,115,80,20
60,79,84,80,20
60,1,17,80,20
60,18,10,80,20
60,12,9,80,20
60,164,165,80,20
60,168,167,80,20
60,169,163,80,20
60,177,165,80,20
80,207,220,100,20
80,149,153,100,20
80,158,154,100,20
80,125,130,100,20
80,52,68,100,20
80,161,145,100,20
80,23,25,100,20
80,23,32,100,20
80,41,29,100,20
80,36,39,100,20
80,88,92,100,20
80,106,116,100,20
80,79,84,100,20
80,1,17,100,20
80,18,10,100,20
80,12,9,100,20
80,168,173,100,20
80,104,113,100,20
80,169,163,100,20
100,213,225,120,20
100,213,223,120,20
100,206,227,120,20
100,225,227,120,20
100,158,154,120,20
100,125,130,120,20
100,161,145,120,20
100,43,33,120,20
100,23,25,120,20
100,23,32,120,20
100,24,31,120,20
100,25,45,120,20
100,42,36,120,20
100,37,232,120,20
100,88,92,120,20
100,106,116,120,20
100,106,119,120,20
100,101,97,120,20
